account_id	invoice_period_from	invoice_period_until	invoice_days	invoice_amount
0010L00001iUtS3QAK	2020-09-19	2021-09-18	365	1544
0010L00001iVAc6QAG	2020-03-13	2020-10-04	206	101
0010L00001iVAc6QAG	2020-10-05	2021-10-04	365	638
0010L00001iVAc6QAG	2021-04-30	2021-10-04	158	324
0010L00001iVAc6QAG	2021-11-04	2022-11-03	365	426
0010L00001iVDYlQAO	2020-05-03	2021-05-02	365	5512
0010L00001iVJkWQAW	2020-01-06	2021-01-05	366	3298
0010L00001iVJkWQAW	2021-01-06	2022-01-05	365	1750
0010L00001iVP4NQAW	2020-07-09	2021-07-08	365	622
0010L00001iVTxCQAW	2020-09-28	2021-09-27	365	1477
0010L00001iVZscQAG	2020-05-22	2021-05-21	365	2406
0010L00001iVZscQAG	2021-06-02	2022-06-01	365	3586
0010L00001iVZscQAG	2022-06-02	2023-06-01	365	3392
0010L00001iVcbpQAC	2020-10-03	2021-10-02	365	687
0010L00001iVgY9QAK	2020-10-31	2021-10-30	365	8441
0010L00001iVgY9QAK	2021-10-31	2022-10-30	365	3444
0010L00001iVgY9QAK	2022-10-31	2023-10-30	365	7443
0010L00001iWGoxQAG	2021-04-12	2022-04-11	365	1379
0010L00001iWMQ3QAO	2020-01-23	2021-01-22	366	4440
0010L00001iWMQ3QAO	2021-01-23	2022-01-22	365	5442
0010L00001iWMQ3QAO	2022-01-23	2023-01-22	365	4628
0010L00001iWZixQAG	2020-10-20	2021-10-19	365	2835
0010L00001iWZixQAG	2021-10-20	2022-10-19	365	4123
0010L00001iWZixQAG	2022-10-20	2023-10-19	365	2603
0010L00001jPnlWQAS	2020-10-02	2021-10-01	365	1624
0010L00001jPnlWQAS	2021-10-26	2022-10-25	365	1872
0010L00001jPnlWQAS	2022-10-26	2023-10-25	365	2244
0010L00001jPyagQAC	2020-10-31	2021-10-30	365	2234
0010L00001jPyagQAC	2020-11-30	2021-10-30	335	161
0010L00001jQQ08QAG	2020-11-04	2021-11-03	365	1163
0010L00001jQQ08QAG	2021-11-04	2022-11-03	365	1557
0010L00001jQQ08QAG	2022-11-04	2023-11-03	365	2265
0010L00001jQUOVQA4	2020-09-04	2021-09-03	365	2224
0010L00001jQjbLQAS	2020-11-20	2021-11-19	365	656
0010L00001jQxqhQAC	2020-11-01	2021-10-31	365	3127
0010L00001jR40LQAS	2020-01-01	2020-12-31	366	1600
0010L00001jR40LQAS	2021-01-21	2022-01-20	365	2880
0010L00001jR40LQAS	2022-01-21	2023-01-20	365	2623
0010L00001jRCBlQAO	2020-12-31	2021-12-08	343	2504
0010L00001jRCISQA4	2020-01-08	2021-01-07	366	1140
0010L00001jRKPFQA4	2021-02-19	2022-02-18	365	1261
0010L00001jRKPFQA4	2022-02-19	2023-02-18	365	2141
